,reviewTime,overall,reviewText,asin
0,"09 1, 2016",5.0,As advertised. Reasonably priced,B0000530HU
1,"11 14, 2013",5.0,Like the oder and the feel when I put it on my face.  I have tried other brands but the reviews from people I know they prefer the oder of this brand. Not hard on the face when dry.  Does not leave dry skin.,B0000530HU
2,"08 18, 2013",1.0,I bought this to smell nice after I shave.  When I put it on I smelled awful.  I am 19 and I smelled like a grandmother with too much perfume.,B0000530HU
3,"05 3, 2011",5.0,"HEY!! I am an Aqua Velva Man and absolutely love this stuff, been using it for over 50 years. This is a true after shave lotion classic. Not quite sure how many women that have been attracted to me because of Aqua Velva,  I do know for sure that it's just to many to count. Ha.  Not sure how long this has been around but the Williams Company ran a paper advertisement, taken from a 1949 magazine, which features Ralph Bellamy of Detective Story and Ezio Pinza of South Pacific for Aqua Velva After Shave Lotion. I'm sure you all remember Ralph Bellamy and Ezio Pinza from the 40's right.

There slogan was "" There is nothing like an AQUA VELVA MAN "" and it seemed to work because this was a hot item when I was a young man. It's just amazing that this is still around when the vast majority of after shave lotions from that time period have disappeared over the years.

The only negative about Aqua Velva is it does not last very long. Usually in less than an hour the aroma has dissipated. The more expensive after shave lotions and perfumes have Ambergris in them which is quite expensive and comes from a sperm whale this enables the aroma to linger much longer.

At any rate this is a great classic after shave with a wonderful refreshing odor, give it a try you might just like it.

Note :::; Some reviewers mention this 7oz size now comes in a plastic container, I just bought one in Wal-Mart and it was glass.",B0000530HU
4,"05 6, 2011",5.0,"If you ever want to feel pampered by a shampoo this one is the one.  It smells like a wonderful perfume and cleans your hair until it shines plus adding a fullness that most other shampoo's don't give you.  It is expensive, but worth it!",B00006L9LC
5,"05 16, 2010",5.0,"If you know the scent of Diva, you'll LOVE this body cream....everyone says ""who smells so good in here!""",B00006L9LC
6,"05 7, 2018",5.0,"Got this shampoo as a solution for my wife's dandruff problem. It worked! She got rid of any dandruff signs after 3-4 uses. As long as she is happy, I am happy too!",B00006L9LC
7,"05 7, 2018",2.0,No change my scalp still itches like crazy. It doesnt lather at all so its very hard to move around the hair and scalp. It does smell good and my hair feels clean.,B00006L9LC
8,"05 6, 2018",1.0,Too expensive for such poor quality. There was no improvement and I am starting to think my scalp is worse off than it was before I started using this product. I do agree with other reviews that it feels watered down too much. Had to use more shampoo than all other shampoo's I have tried to get a good lather.,B00006L9LC
9,"05 6, 2018",1.0,"It dries my hair, doesnt help to reduce dandruff. I have to use very less shampoo nevertheless it dries.. don't know how this got higher ratings",B00006L9LC
10,"05 6, 2018",5.0,Outstanding! Top organic shampoo!,B00006L9LC
11,"05 5, 2018",1.0,"So watered down, I didn't feel like it was actually shampoo. I tried twice then threw it away.",B00006L9LC
12,"05 5, 2018",5.0,10 stars right here. This product helped me with my itchy skin and my sister's greasy hair complain.,B00006L9LC
13,"05 5, 2018",5.0,First hair care product I've decided to purchase online. Worth it for sure. No more struggle with getting rid of my dandruff problem. I use it about once per 2-3 days and it is more than enough to keep my hair and head skin healthy.,B00006L9LC
14,"05 3, 2018",1.0,Made dandruff worse and irritated rest of skin,B00006L9LC
