,reviewTime,overall,reviewText,asin
0,"06 17, 2018",5.0,Another great gift.,B004LLIKVU
1,"06 14, 2018",4.0,Gift card for my daughter,B004LLIKVU
2,"06 2, 2018",5.0,Nice present,B004LLIKVU
3,"05 19, 2018",5.0,My niece loved this birthday greeting/gift card.,B004LLIKVU
4,"05 18, 2018",5.0,fine as a gift.,B004LLIKVU
5,"05 8, 2018",5.0,I would have preferred some more choices.,B004LLIKVU
6,"05 1, 2018",5.0,great,B004LLIKVU
7,"04 27, 2018",5.0,Very cute design and enjoyed by recipient.,B004LLIKVU
8,"04 12, 2018",4.0,"I used the text option to send these last minute gift cards to my Granddaughters (via their mom's phone). Works really well, you get a confirmation email that it has been received, and a confirmation that the cards have been redeemed. Granddaughter's very happy with the card design. I love the options you have when you send Amazon gift cards!",B004LLIKVU
9,"04 12, 2018",5.0,This was for a gift and it was well received.,B004LLIKVU
10,"03 23, 2018",5.0,Great way to send a last minute birthday gift to someone through email. Cant go wrong with Amazon gift cards!,B004LLIKVU
11,"02 8, 2018",5.0,guess it was appreciated?,B004LLIKVU
12,"05 29, 2018",5.0,I bought several of these cards for 'stocking gifts' for the church staff. Glad that Amazon actually had a Real Christmas themed card.,B004Q7CK9M
13,"04 14, 2018",4.0,was gift,B004Q7CK9M
14,"03 18, 2018",5.0,great,B004Q7CK9M
15,"03 18, 2018",5.0,they are gift cards,B004Q7CK9M
16,"03 12, 2018",5.0,Xmas gift.,B004Q7CK9M
17,"03 5, 2018",4.0,This was a birthday gift,B004Q7CK9M
18,"03 2, 2018",5.0,everyone loved getting them for Christmas  Thanks,B004Q7CK9M
19,"03 1, 2018",5.0,Xmas stocking stuffer. Loved it,B004Q7CK9M
20,"02 8, 2018",5.0,Easy gift that I knew recipient would love.,B004Q7CK9M
21,"02 6, 2018",5.0,Very nice,B004Q7CK9M
22,"01 30, 2018",5.0,"I sent this to one of my relatives out of town , she thanked me for it",B004Q7CK9M
23,"01 28, 2018",5.0,"Came on time, and exactly as described.",B004Q7CK9M
24,"01 15, 2018",5.0,Nice card,B004Q7CK9M
25,"01 8, 2018",5.0,This was a gift.,B004Q7CK9M
26,"12 27, 2017",5.0,lots of thank you's from nieces.,B004Q7CK9M
27,"12 19, 2017",5.0,Cute!,B004Q7CK9M
28,"12 13, 2017",5.0,Love gift cards..fast delivery!,B004Q7CK9M
29,"11 16, 2017",2.0,"Ok looking card (not great). But I would have liked it to come in a tin. As one of the ones I ordered, the card was bent in half. And couldn't have been done by post office as they were in a box.",B004Q7CK9M
30,"09 5, 2017",5.0,It was good experiance,B004Q7CK9M
31,"07 22, 2017",5.0,Nice look,B004Q7CK9M
32,"06 27, 2017",5.0,"Always a great gift for any one, any time. And very convenient.",B004Q7CK9M
33,"06 27, 2017",5.0,attractive card; easy to print; convenient,B004Q7CK9M
34,"05 12, 2017",5.0,A great gift for someone.,B004Q7CK9M
